x_upper,Cp_upper,x_lower,Cp_lower
0.0,-0.09233132549619137,0.0,-0.0901629180258546
0.0035626000000000004,-0.761378726714172,0.0043123,1.0463235305939809
0.0133331,-0.9460146072439578,0.0147147,0.829295390322127
0.0366108,-1.0352405590789262,0.039247899999999995,0.5107536558833966
0.072922,-0.987026955942179,0.07795060000000001,0.32962470595378496
0.1135604,-0.9177985396669831,0.120143,0.23940824700273686
0.1559135,-0.8421452123685671,0.1632276,0.18527837163210797
0.1991328,-0.805737383236987,0.2067013,0.15438525779545828
0.2428443,-0.7654746074914746,0.2503792,0.13120203718667262
0.2868627,-0.7151729082721809,0.2941554,0.11026753543601397
0.33105179999999995,-0.6413667428929408,0.3379772,0.0952760763818339
0.3753128,-0.6314349012695465,0.3818675,0.08352384330186055
0.4195991,-0.5967671522067549,0.42575270000000004,0.07294951057614424
0.4638793,-0.5512573657922797,0.46962780000000004,0.06649782909032745
0.508156,-0.510191476168865,0.5135062,0.061009884257993655
0.552486,-0.48617837121958,0.5573662,0.05798482198456089
0.5969223,-0.40070028414815667,0.6012075,0.05779742874638363
0.6413685,-0.2584152754464295,0.6450502,0.06186653906108966
0.6857899999999999,-0.20024306022369134,0.688901,0.06976382552713097
0.7302401000000001,-0.15979289124000182,0.7328011,0.07854453725886502
0.7747356999999999,-0.10994628988485299,0.7767783,0.09324152122448087
0.8193114,-0.04743725972144131,0.8207965,0.10836683259164472
0.8638589,0.008566548030960058,0.8647978000000001,0.12541961726577458
0.908108,0.06617658353916644,1.0,0.1362081136922649
1.0,0.1362081136922649,,
