pressure no.,airfoil pressure tap coordinates ,,,Pressure no.,total wake rake probe locations [mm],,pressure no.,static wake rake probe locations [mm],,pressure no.,pitot-static tube at the wall of the test section
,x [%],y [%],,,,,,,,,
P001,0,0,,P050,0,,P098,43.5,,P097,total pressure
P002,0.35626,0.77154,,P051,12,,P099,55.5,,P110,static pressure
P003,1.33331,1.60115,,P052,21,,P100,67.5,,,
P004,3.66108,2.87759,,P053,27,,P101,79.5,,,
P005,7.2922,4.15707,,P054,33,,P102,91.5,,,
P006,11.35604,5.13022,,P055,39,,P103,103.5,,,
P007,15.59135,5.85007,,P056,45,,P104,115.5,,,
P008,19.91328,6.3748,,P057,51,,P105,127.5,,,
P009,24.28443,6.74148,,P058,57,,P106,139.5,,,
P010,28.68627,6.9748,,P059,63,,P107,151.5,,,
P011,33.10518,7.09219,,P060,69,,P108,163.5,,,
P012,37.53128,7.10225,,P061,72,,P109,175.5,,,
P013,41.95991,7.00937,,P062,75,,,,,,
P014,46.38793,6.81628,,P063,78,,,,,,
P015,50.8156,6.52532,,P064,81,,,,,,
P016,55.2486,6.14225,,P065,84,,,,,,
P017,59.69223,5.68254,,P066,87,,,,,,
P018,64.13685,5.16453,,P067,90,,,,,,
P019,68.579,4.59453,,P068,93,,,,,,
P020,73.02401,3.97658,,P069,96,,,,,,
P021,77.47357,3.32133,,P070,99,,,,,,
P022,81.93114,2.63941,,P071,102,,,,,,
P023,86.38589,1.94846,,P072,105,,,,,,
P024,90.8108,1.27669,,P073,108,,,,,,
P025,100,0,,P074,111,,,,,,
P026,0,0,,P075,114,,,,,,
P027,0.43123,-0.57176,,P076,117,,,,,,
P028,1.47147,-1.09275,,P077,120,,,,,,
P029,3.92479,-1.77203,,P078,123,,,,,,
P030,7.79506,-2.3727,,P079,126,,,,,,
P031,12.0143,-2.76684,,P080,129,,,,,,
P032,16.32276,-3.02746,,P081,132,,,,,,
P033,20.67013,-3.19868,,P082,135,,,,,,
P034,25.03792,-3.30615,,P083,138,,,,,,
P035,29.41554,-3.36298,,P084,141,,,,,,
P036,33.79772,-3.37697,,P085,144,,,,,,
P037,38.18675,-3.35304,,P086,147,,,,,,
P038,42.57527,-3.29378,,P087,150,,,,,,
P039,46.96278,-3.20029,,P088,156,,,,,,
P040,51.35062,-3.07206,,P089,162,,,,,,
P041,55.73662,-2.9106,,P090,168,,,,,,
P042,60.12075,-2.71424,,P091,174,,,,,,
P043,64.50502,-2.48323,,P092,180,,,,,,
P044,68.8901,-2.21935,,P093,186,,,,,,
P045,73.28011,-1.92575,,P094,195,,,,,,
P046,77.67783,-1.61034,,P095,207,,,,,,
P047,82.07965,-1.28273,,P096,219,,,,,,
P048,86.47978,-0.94874,,,,,,,,,
P049,100,0,,,,,,,,,
